segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
category=SINUS,actuals_censored_by_stockout,4,0.0089,0.0077
category=SINUS,legacy_placeholder_detected,63,0.1395,0.1205
category=SINUS,missing_baseline_daily_units,5,0.0111,0.0096
category=SMOKING GUM,legacy_placeholder_detected,63,0.1395,0.1205
category=SMOKING GUM,missing_baseline_daily_units,2,0.0044,0.0038
category=SMOKING LOZENGE,legacy_placeholder_detected,31,0.0686,0.0593
category=SMOKING LOZENGE,missing_baseline_daily_units,1,0.0022,0.0019
category=SMOKING PATCH,legacy_placeholder_detected,15,0.0332,0.0287
category=SMOKING SPRAY,legacy_placeholder_detected,14,0.031,0.0268
category=SNACKS,legacy_placeholder_detected,5,0.0111,0.0096
category=SNACKS,missing_baseline_daily_units,3,0.0066,0.0057
category=SPORTS NUTRITION,legacy_placeholder_detected,26,0.0576,0.0497
category=SPORTS NUTRITION,missing_baseline_daily_units,1,0.0022,0.0019
category=SUN PROTECTION,actuals_censored_by_stockout,52,0.1151,0.0995
category=SUN PROTECTION,legacy_placeholder_detected,553,1.2243,1.0577
category=SUN PROTECTION,missing_baseline_daily_units,26,0.0576,0.0497
category=TAN APPLICATOR,actuals_censored_by_stockout,3,0.0066,0.0057
category=TAN APPLICATOR,legacy_placeholder_detected,56,0.124,0.1071
category=TAN APPLICATOR,missing_baseline_daily_units,1,0.0022,0.0019
category=TAN SET AND REMOVE,legacy_placeholder_detected,21,0.0465,0.0402
category=TAN SET AND REMOVE,missing_baseline_daily_units,1,0.0022,0.0019
category=TANNING SKIN,actuals_censored_by_stockout,13,0.0288,0.0249
category=TANNING SKIN,legacy_placeholder_detected,558,1.2354,1.0672
category=TANNING SKIN,missing_baseline_daily_units,15,0.0332,0.0287
category=THE QUICK FLICK,actuals_censored_by_stockout,1,0.0022,0.0019
category=THE QUICK FLICK,legacy_placeholder_detected,207,0.4583,0.3959
category=THE QUICK FLICK,missing_baseline_daily_units,16,0.0354,0.0306
category=THERAPEUTIC,actuals_censored_by_stockout,102,0.2258,0.1951
category=THERAPEUTIC,legacy_placeholder_detected,683,1.5121,1.3063
category=THERAPEUTIC,missing_baseline_daily_units,45,0.0996,0.0861
category=THROAT TREATMENT,actuals_censored_by_stockout,1,0.0022,0.0019
category=THROAT TREATMENT,legacy_placeholder_detected,79,0.1749,0.1511
category=THROAT TREATMENT,missing_baseline_daily_units,7,0.0155,0.0134
category=TOOTHBRUSHES,actuals_censored_by_stockout,6,0.0133,0.0115
category=TOOTHBRUSHES,legacy_placeholder_detected,103,0.228,0.197
category=TOOTHBRUSHES,missing_baseline_daily_units,5,0.0111,0.0096
category=TOOTHPASTE,actuals_censored_by_stockout,22,0.0487,0.0421
category=TOOTHPASTE,legacy_placeholder_detected,305,0.6753,0.5833
category=TOOTHPASTE,missing_baseline_daily_units,12,0.0266,0.023
category=TRAVEL ACCESSORIES,legacy_placeholder_detected,62,0.1373,0.1186
category=TREATMENT,actuals_censored_by_stockout,36,0.0797,0.0689
category=TREATMENT,legacy_placeholder_detected,655,1.4501,1.2527
category=TREATMENT,missing_baseline_daily_units,39,0.0863,0.0746
category=WEIGHT MANAGEMENT,legacy_placeholder_detected,57,0.1262,0.109
category=WEIGHT MANAGEMENT,missing_baseline_daily_units,3,0.0066,0.0057
category=WOMENS DEODORANT,actuals_censored_by_stockout,18,0.0399,0.0344
category=WOMENS DEODORANT,legacy_placeholder_detected,212,0.4694,0.4055
category=WOMENS DEODORANT,missing_baseline_daily_units,19,0.0421,0.0363
category=WOMENS ELEC HAIR R,actuals_censored_by_stockout,2,0.0044,0.0038
category=WOMENS ELEC HAIR R,legacy_placeholder_detected,37,0.0819,0.0708
category=WOMENS HEALTH SUPP,actuals_censored_by_stockout,8,0.0177,0.0153
category=WOMENS HEALTH SUPP,legacy_placeholder_detected,213,0.4716,0.4074
category=WOMENS HEALTH SUPP,missing_baseline_daily_units,6,0.0133,0.0115
category=WOMENS SHAVING AID,actuals_censored_by_stockout,7,0.0155,0.0134
category=WOMENS SHAVING AID,legacy_placeholder_detected,201,0.445,0.3844
category=WOMENS SHAVING AID,missing_baseline_daily_units,17,0.0376,0.0325
category=WOUNDCARE,legacy_placeholder_detected,115,0.2546,0.2199
category=WOUNDCARE,missing_baseline_daily_units,10,0.0221,0.0191
promo_duration_band=long,actuals_censored_by_stockout,11,0.0244,0.021
promo_duration_band=long,legacy_placeholder_detected,2021,4.4744,3.8654
promo_duration_band=long,missing_baseline_daily_units,171,0.3786,0.3271
promo_duration_band=standard,actuals_censored_by_stockout,613,1.3572,1.1724
promo_duration_band=standard,legacy_placeholder_detected,30290,67.0608,57.9325
promo_duration_band=standard,missing_baseline_daily_units,1075,2.38,2.056
promo_duration_band=week,actuals_censored_by_stockout,331,0.7328,0.6331
promo_duration_band=week,legacy_placeholder_detected,10550,23.3572,20.1779
promo_duration_band=week,missing_baseline_daily_units,106,0.2347,0.2027
source_table=test_set_predictions.parquet,actuals_censored_by_stockout,955,2.1143,1.8265
source_table=test_set_predictions.parquet,legacy_placeholder_detected,42861,94.8924,81.9757
source_table=test_set_predictions.parquet,missing_baseline_daily_units,1352,2.9933,2.5858
