segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
category=REMOVAL WAX CREAM,178,28.651685393258425,6.179775280898876,34,10,6,5,123,508.76,2452.223000000001,83.9643,,6.179775280898876,0.08,508.76,-2057.3790000000004
category=RESPIRATORY AND SL,2,50.0,50.0,0,0,1,0,1,4.0,19.28,0.0,,50.0,0.0,4.0,-19.28
category=REVLON,2558,11.102423768569194,2.7756059421422985,92,121,71,0,2274,6688.88,32240.402000000002,168.0,,2.7756059421422985,0.0,6688.88,-28362.962
category=REVOLUTION PRO,67,2.9850746268656714,0.0,2,0,0,0,65,186.0,896.52,60.94409999999997,,0.0,0.0,186.0,-849.74
category=RIMMEL,2315,9.719222462203025,1.6846652267818574,134,52,24,15,2090,5845.0,28172.900000000005,224.0,,1.6846652267818574,0.5,5845.0,-25541.02
category=SALLY HANSEN,1060,11.50943396226415,2.2641509433962264,76,22,16,8,938,2821.76,13600.883,167.665,,2.2641509433962264,0.14,2821.76,-12380.095000000001
category=SEASONAL,11,0.0,0.0,0,0,0,0,11,20.0,96.4,0.0,,0.0,0.0,20.0,-81.32000000000001
category=SEASONAL CONFEC,2,0.0,0.0,0,0,0,0,2,4.0,19.28,0.0,,0.0,0.0,4.0,-19.28
category=SEXUAL HEALTH,46,23.91304347826087,2.1739130434782608,9,3,1,0,33,118.92,573.194,81.63525,,2.1739130434782608,0.04,118.92,-486.061
category=SHAMPOO CONDITIONE,1809,26.920950801547818,6.799336650082918,348,107,43,80,1231,5439.380000000001,26217.811,167.665,,6.799336650082918,4.66,5439.380000000001,-18479.303000000004
category=SINGLES FEMALE,1283,5.845674201091192,2.7279812938425563,57,21,26,9,1170,2724.8,13133.536,126.126,,2.7279812938425563,0.18,2724.8,-8509.602
category=SINGLES MALE,512,4.1015625,2.9296875,20,4,13,2,473,1057.0,5094.74,84.084,,2.9296875,0.12,1057.0,-2217.6730000000002
category=SINUS,86,18.6046511627907,3.488372093023256,13,2,3,0,68,220.92000000000002,1064.834,183.93375,,3.488372093023256,0.2,220.92000000000002,-839.9080000000001
category=SMOKING GUM,66,3.0303030303030303,1.5151515151515151,2,0,1,0,63,136.0,655.52,195.804,,1.5151515151515151,0.0,136.0,-588.76
category=SMOKING LOZENGE,35,5.714285714285714,0.0,1,1,0,0,33,76.0,366.32,232.2490999999999,,0.0,0.0,76.0,-309.40999999999997
category=SMOKING PATCH,15,6.666666666666667,6.666666666666667,0,0,1,0,14,33.0,159.06,204.26279999999997,,6.666666666666667,0.0,33.0,-147.79000000000002
category=SMOKING SPRAY,14,14.285714285714285,0.0,1,1,0,0,12,35.0,168.70000000000005,146.853,,0.0,0.0,35.0,-148.54000000000002
category=SNACKS,16,43.75,0.0,7,0,0,0,9,72.0,347.04,136.5525,,0.0,0.0,72.0,-314.56
category=SPORTS NUTRITION,34,26.47058823529412,8.823529411764707,6,1,1,2,24,88.0,424.16,91.32269999999995,,8.823529411764707,0.0,88.0,-258.67
category=SUN PROTECTION,842,47.149643705463184,11.282660332541568,264,73,39,56,410,3301.12,15911.399,105.0,,11.282660332541568,6.180000000000001,3301.12,-4394.857
category=TAN APPLICATOR,80,42.5,10.0,27,2,2,6,43,309.48,1491.6930000000002,74.87214999999999,,10.0,0.3,309.48,-981.633
category=TAN SET AND REMOVE,24,25.0,0.0,5,2,0,0,17,67.0,322.94000000000005,123.75704999999996,,0.0,0.0,67.0,-249.91000000000003
category=TANNING SKIN,667,16.94152923538231,3.8980509745127434,79,26,14,12,536,1825.6599999999999,8799.681,168.0,,3.8980509745127434,0.24000000000000002,1825.6599999999999,-5867.296
category=THE QUICK FLICK,242,32.231404958677686,6.6115702479338845,50,12,5,11,164,621.0,2993.2200000000003,105.0,,6.6115702479338845,0.2,621.0,-1657.3319999999999
category=THERAPEUTIC,1068,47.19101123595505,8.333333333333332,380,74,44,45,525,3674.0,17708.677,84.084,,8.333333333333332,31.28,3674.0,-6973.068
category=THROAT TREATMENT,111,36.03603603603604,9.00900900900901,22,9,0,10,70,311.0,1499.0200000000002,64.39099999999999,,9.00900900900901,0.0,311.0,-1276.4300000000005
category=TOOTHBRUSHES,171,53.216374269005854,11.695906432748536,54,19,8,12,78,1189.7800000000002,5734.74,84.042,,11.695906432748536,0.18,1189.7800000000002,-5160.931
category=TOOTHPASTE,475,51.78947368421053,8.210526315789474,185,32,15,24,219,1779.52,8577.286,83.97059999999999,,8.210526315789474,1.06,1779.52,-6973.764000000001
