segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
category=COTTON PRODUCTS,30,86.66666666666667,56.666666666666664,9,1,3,14,3,310.98,1498.9240000000004,56.0,,56.666666666666664,0.0,310.98,-1278.994
category=DAILY LIVING AIDS,1,100.0,100.0,0,0,0,1,0,3.0,14.46,0.0,,100.0,0.0,3.0,-14.46
category=DAILY WELLBEING SU,308,28.57142857142857,8.441558441558442,56,10,7,19,216,751.54,3622.4230000000007,126.126,,8.441558441558442,0.98,751.54,-942.4640000000002
category=DENTAL CARE,148,56.08108108108109,13.513513513513514,61,6,9,11,61,724.1600000000001,3490.451,65.34015,,13.513513513513514,0.8799999999999999,724.1600000000001,-2870.703
category=DERMA COS,1105,51.22171945701357,7.420814479638009,441,50,23,59,532,4745.74,22874.465,105.0,,7.420814479638009,32.68,4745.74,18630.039
category=DIGESTIVE HLTH SUP,278,25.179856115107913,6.83453237410072,43,12,4,15,204,788.78,3801.9190000000003,126.126,,6.83453237410072,0.74,788.78,-1782.9600000000003
category=DRY SHAMPOO,286,36.71328671328671,8.391608391608392,77,11,5,19,174,1038.76,5006.823,67.2,,8.391608391608392,0.0,1038.76,-3747.7130000000006
category=EAR CARE,25,8.0,0.0,2,0,0,0,23,53.0,255.46,162.13199999999992,,0.0,0.0,53.0,-203.83
category=ELF,826,9.806295399515738,1.573849878934625,60,8,3,10,745,2284.74,11012.447,280.0,,1.573849878934625,0.0,2284.74,-7939.537
category=ESSENCE,997,29.287863590772318,4.312938816449348,202,47,10,33,705,3399.26,16384.432,126.126,,4.312938816449348,0.74,3399.26,-14636.254
category=ESSIE,485,11.134020618556702,2.6804123711340204,32,9,6,7,431,1188.92,5730.594000000001,168.0,,2.6804123711340204,0.16,1188.92,-4842.412
category=EVERYDAY SKIN,1929,43.856920684292376,8.605495075168482,664,60,67,99,1039,7074.320000000001,34098.217000000004,84.0,,8.605495075168482,7.619999999999999,7074.320000000001,-23292.704
category=EYECARE PRODUCTS,71,43.66197183098591,16.901408450704224,17,4,4,8,38,196.86,948.8649999999999,72.8155,,16.901408450704224,0.28,196.86,-659.754
category=EYEWEAR,328,0.9146341463414633,0.3048780487804878,3,0,1,0,324,642.0,3094.44,0.0,,0.3048780487804878,0.0,642.0,-2691.54
category=FAM PLAN TESTS,27,3.7037037037037033,0.0,1,0,0,0,26,74.0,356.67999999999995,126.0882,,0.0,0.0,74.0,-311.17999999999995
category=FASHION ACCESS,165,13.939393939393941,1.8181818181818181,17,3,2,1,142,441.88,2129.862,84.0672,,1.8181818181818181,0.0,441.88,-1300.992
category=FEMININE HYGIENE,392,60.71428571428571,21.683673469387756,131,25,6,79,151,2566.88,12372.362,84.0,,21.683673469387756,0.8400000000000001,2566.88,-11632.743999999999
category=FOOT CARE,21,14.285714285714285,0.0,3,0,0,0,18,43.94,211.79100000000003,181.818,,0.0,0.0,43.94,-122.46100000000001
category=FOOT SUPPORT,78,16.666666666666664,2.564102564102564,10,1,0,2,65,213.0,1026.66,150.02504999999982,,2.564102564102564,0.06,213.0,-784.1640000000001
category=FOOTCARE AID,94,29.78723404255319,9.574468085106384,17,5,8,1,63,240.96,1161.4270000000004,113.18474999999998,,9.574468085106384,0.0,240.96,-871.0669999999999
category=GENERAL MERCH,2,0.0,0.0,0,0,0,0,2,2.0,9.64,0.0,,0.0,0.0,2.0,-0.35000000000000003
category=GIFTSETS FEMALE,127,20.47244094488189,32.28346456692913,0,0,15,26,86,263.0,1267.6600000000008,0.0,,32.28346456692913,0.0,263.0,-1089.3900000000008
category=GIFTSETS MALE,80,0.0,21.25,0,1,17,0,62,142.0,684.44,0.0,,21.25,0.0,142.0,-645.6500000000001
category=GUT HEALTH,29,34.48275862068966,27.586206896551722,2,2,5,3,17,74.0,356.67999999999995,105.0,,27.586206896551722,0.0,74.0,-269.52000000000004
category=HAIR ACCESSORIES,486,45.67901234567901,7.818930041152264,148,41,9,29,259,1732.52,8350.746000000001,103.95,,7.818930041152264,0.9600000000000001,1732.52,-5598.869000000001
category=HAIR BRUSHES,295,38.64406779661017,9.830508474576272,68,20,10,19,178,875.8,4221.356,112.0,,9.830508474576272,0.26,875.8,-2466.7740000000003
category=HAIR ELECTRICAL,92,21.73913043478261,4.3478260869565215,19,7,1,3,62,250.92000000000002,1209.434,156.21840000000006,,4.3478260869565215,0.22,250.92000000000002,-400.32000000000005
category=HAIR STYLING,456,39.473684210526315,9.429824561403509,128,21,13,30,264,1583.44,7632.18,84.0,,9.429824561403509,1.92,1583.44,-4413.88
category=HEALTHY AGEING SUP,408,22.794117647058822,6.862745098039216,63,10,13,15,307,1042.8600000000001,5026.585000000001,121.18189999999969,,6.862745098039216,1.0,1042.8600000000001,-3052.34
category=HEART AND CHOLESTE,2,0.0,0.0,0,0,0,0,2,4.0,19.28,0.0,,0.0,0.0,4.0,-19.28
category=HEAT APPLICATN,127,11.023622047244094,1.574803149606299,10,4,1,1,111,334.0,1609.8800000000008,168.0,,1.574803149606299,0.04,334.0,-1374.1200000000003
category=HOME FRAGRANCE,187,13.903743315508022,3.7433155080213902,19,1,1,6,160,425.0,2048.5,84.0,,3.7433155080213902,0.0,425.0,-1457.9500000000003
category=HOT COLD PACKS,11,36.36363636363637,27.27272727272727,1,0,0,3,7,31.0,149.42000000000002,162.75,,27.27272727272727,0.0,31.0,-141.06000000000003
category=HYDRATION,152,24.342105263157894,5.921052631578947,27,5,2,7,111,404.88,1951.5210000000002,118.29999999999984,,5.921052631578947,0.18,404.88,-1462.778
category=IMMUNE HEALTH SUPP,191,14.659685863874344,3.1413612565445024,21,6,4,2,158,449.0,2164.1800000000003,109.1545,,3.1413612565445024,0.0,449.0,-1810.2000000000003
category=INCONTINENCE MEN,30,33.33333333333333,0.0,8,2,0,0,20,68.92,332.194,203.61179999999996,,0.0,0.08,68.92,-247.69899999999998
category=INCONTINENCE UNISE,10,10.0,0.0,0,1,0,0,9,26.0,125.32000000000001,372.3999999999998,,0.0,0.0,26.0,-125.32000000000001
category=INCONTINENCE WOMAN,144,28.47222222222222,2.7777777777777777,30,8,0,4,102,481.0,2318.42,194.81174999999996,,2.7777777777777777,0.0,481.0,-2142.57
category=INHALANTS,8,12.5,0.0,1,0,0,0,7,14.0,67.48,6.824349999999995,,0.0,0.0,14.0,-47.540000000000006
category=INSECT REPELLENT,1,100.0,100.0,0,0,0,1,0,3.0,14.46,0.0,,100.0,0.0,3.0,-14.46
