logic_variant,row_count,missed_sales_units,leftover_units,end_stock_success_rate,clean_exit_rate,controlled_residual_rate,overstock_rate,cash_tied_up_cost_proxy,gp_captured_proxy,gp_missed_proxy,net_value_proxy,wape,bias_pct,start_soh_compliance_rate
baseline,52285,127.6,172839.43999999997,4.959357368270059,1.7614994740365306,3.197857894233528,4.056612795256766,833086.0700000001,235559.63999999998,562.3469999999999,-594328.0970000001,1.0825491556647222,2.7058254016989065,23.157693411112174
bias_adjusted,52285,132.51999999999998,156670.36000000002,5.433680787988907,2.0828153390073636,3.3508654489815437,3.582289375537917,755151.11,235559.63999999998,579.942,-516410.732,0.6750660935421146,-23.62235185753761,23.157693411112174
current_model,52285,22716.073,18980.994,0.0,0.0,0.0,0.0,91482.13800000002,235559.63999999998,108732.838,39105.350999999995,0.6705042144304575,-25.381964871558697,100.0
stock_outcome,52285,132.51999999999998,156670.36000000002,5.433680787988907,2.0828153390073636,3.3508654489815437,3.582289375537917,755151.11,235559.63999999998,579.942,-516410.732,0.6750660935421146,-23.62235185753761,23.157693411112174
