promotion_row_key,target_actual_units_sold,sufficient_stock_demand_units_target,target_repair_basis,target_quality_label,target_weight,demand_reference_units,baseline_expected_units,required_implied_units,stock_basis_units
772|12004|2026-04-09|2026-04-22|772-12004-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,13.0,13.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,10.000200000000001,10.0
772|12006|2026-04-09|2026-04-22|772-12006-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,11.0,77.35,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,91.0,91.0,91.0,25.0
772|12510|2026-04-09|2026-04-22|772-12510-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,2.0,2.5,REPAIR_POST14_FOLLOWTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.5,18.666666666666664,18.666666666666664,18.666666666666664,2.0
772|1262|2026-04-09|2026-04-22|772-1262-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,6.0
772|12715|2026-04-09|2026-04-22|772-12715-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,4.0
772|12757|2026-04-09|2026-04-22|772-12757-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,2.0
772|13142|2026-04-09|2026-04-22|772-13142-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|13143|2026-04-09|2026-04-22|772-13143-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,4.0
772|1341|2026-04-09|2026-04-22|772-1341-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,2.0006,2.0
772|1342|2026-04-09|2026-04-22|772-1342-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,2.0006,2.0
772|13440|2026-04-09|2026-04-22|772-13440-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,2.0,2.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,0.9996,1.0
772|13563|2026-04-09|2026-04-22|772-13563-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|13628|2026-04-09|2026-04-22|772-13628-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,1.0
772|13629|2026-04-09|2026-04-22|772-13629-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,10.0
772|14234|2026-04-09|2026-04-22|772-14234-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|1478|2026-04-09|2026-04-22|772-1478-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,4.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,10.0
772|1485|2026-04-09|2026-04-22|772-1485-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,8.0,8.75,REPAIR_POST14_FOLLOWTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.5,25.666666666666664,25.666666666666664,7.0,7.0
772|14945|2026-04-09|2026-04-22|772-14945-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|16235|2026-04-09|2026-04-22|772-16235-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,2.0,2.3,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,2.0006,2.0
772|16306|2026-04-09|2026-04-22|772-16306-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,8.0,8.0,REPAIR_POST14_FOLLOWTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.5,10.5,10.5,2.0006,2.0
772|16316|2026-04-09|2026-04-22|772-16316-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,5.0,17.849999999999998,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,21.0,21.0,6.0004,6.0
772|16491|2026-04-09|2026-04-22|772-16491-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|16525|2026-04-09|2026-04-22|772-16525-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,2.0,2.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,14.0,1.0
772|16527|2026-04-09|2026-04-22|772-16527-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,6.0,6.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,0.9996,1.0
772|16529|2026-04-09|2026-04-22|772-16529-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,1.0,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,0.9996,0.0896,0.9996,1.0
772|16565|2026-04-09|2026-04-22|772-16565-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,7.0
772|16566|2026-04-09|2026-04-22|772-16566-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,3.0,23.8,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,28.0,28.0,28.0,6.0
772|16728|2026-04-09|2026-04-22|772-16728-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,5.0
772|16857|2026-04-09|2026-04-22|772-16857-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,3.0002,3.0
772|17096|2026-04-09|2026-04-22|772-17096-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|17266|2026-04-09|2026-04-22|772-17266-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,2.0
772|17549|2026-04-09|2026-04-22|772-17549-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,2.0006,2.0
772|17913|2026-04-09|2026-04-22|772-17913-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,19.833333333333336,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,23.333333333333336,23.333333333333336,3.9998,4.0
772|18022|2026-04-09|2026-04-22|772-18022-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,2.0006,2.0
772|18024|2026-04-09|2026-04-22|772-18024-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,3.9998,2.0
772|18030|2026-04-09|2026-04-22|772-18030-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,2.0006,2.0
772|18251|2026-04-09|2026-04-22|772-18251-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,1.0,1.15,REPAIR_SATURATED_SELLTHROUGH,STOCK_CONSTRAINED_REPAIRED,0.4,14.0,14.0,14.0,1.0
772|184615|2026-04-09|2026-04-22|772-184615-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,3.0
772|184616|2026-04-09|2026-04-22|772-184616-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,1.0
772|184628|2026-04-09|2026-04-22|772-184628-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,0.0,11.9,REPAIR_UNDERALLOCATION,STOCK_CONSTRAINED_REPAIRED,0.35,14.0,14.0,14.0,1.0
