target_quality_label,row_count,share
STOCK_CONSTRAINED_REPAIRED,7230,0.642039
CLEAN_REALIZED_DEMAND,3807,0.338069
INSUFFICIENT_EVIDENCE,171,0.015185
INVENTORY_INTEGRITY_CONTAMINATED,53,0.004707
