model_variant,wape,mae,rmse,bias_pct,model_beats_baseline_pct,model_beats_historical_proxy_pct,estimated_missed_sales_units,estimated_leftover_units,estimated_net_value_proxy,baseline_wape,historical_proxy_wape
raw_model,0.6729103469450415,0.628766089700679,3.3908448924721455,-50.32906150854569,61.62570526919766,61.62570526919766,28731.648999999994,4143.3859999999995,112267.73200000003,1.0825491556647222,1.0825491761334562
calibrated_model,0.6705042144304575,0.6265178042650856,3.33592833793783,-25.381964871558697,60.795639284689685,60.795639284689685,22578.921167,10178.562229000001,124808.290874,1.0825491556647222,1.0825491761334562
bias_adjusted_model,0.6750214726844744,0.6307387213923688,3.3327184835689847,-23.62770596663596,60.37869369800134,60.37869369800134,22260.744899,10717.429149,125003.262106,1.0825491556647222,1.0825491761334562
baseline,1.0825491556647222,1.0115317777565267,3.5294644822510595,2.7058254016989065,0.0,0.005737783303050588,25783.004,27104.935,78139.214,1.0825491556647222,1.0825491761334562
historical_proxy,1.0825491761334562,1.011531796882471,3.5294644981691863,2.7058151673319006,0.003825188868700392,0.0,25783.006999999998,27104.933,78139.206,1.0825491556647222,1.0825491761334562
