segment,row_count,actual_units_total,forecast_units_total,bias_units,bias_pct,wape,mae,rmse,p75_abs_error,p95_abs_error,model_beats_baseline_pct,estimated_missed_sales_units,estimated_leftover_units
baseline_demand_band=micro,17247,15154.0,12723.500121000001,-2430.499879,-16.03866885970701,0.6307179979543355,0.5541775694903461,1.3672719821593637,0.6233249999999999,2.0790937999999963,73.29390618658317,11961.0,5031.0
baseline_demand_band=mid,1155,6233.0,3676.055953,-2556.944047,-41.02268645916894,0.6816139260388255,3.6783546329004326,11.828483159592402,3.852548,11.340143599999998,66.92640692640693,3521.0,2133.0
baseline_demand_band=zero,29025,14919.0,10969.473413000002,-3949.5265870000007,-26.47313216033247,0.731996599705074,0.3762500351765719,2.9232893095245593,0.09673500000000002,1.4294769999999999,51.962101636520245,11998.0,4211.0
actual_demand_band=high,187,6726.0,1033.1981759999999,-5692.801824,-84.63874255129349,0.8615197505203687,30.987068673796788,51.01698159097544,29.352401,120.11724999999997,44.919786096256686,3600.0,280.0
actual_demand_band=low,3552,12752.0,7599.118447,-5152.881553,-40.40841870294856,0.507609821282936,1.8223649890202702,2.334395076692925,2.4424025,3.703192,63.99211711711712,8980.0,1898.0
actual_demand_band=micro,15279,19685.0,21802.779115999998,2117.7791159999997,10.75833942595885,0.6013261130810261,0.77473031847634,1.269636453965882,0.997681,1.9956013,59.552326722953076,16614.0,5195.0
actual_demand_band=mid,1178,9692.0,3654.639642,-6037.360358,-62.292203446141144,0.6487671167973587,5.33773420713073,6.024052282503214,6.760118,10.8326578,49.57555178268252,5572.0,852.0
actual_demand_band=zero,32089,0.0,2364.905681,2364.905681,0.0,0.0,0.07369832905356977,0.5117589741886216,0.074293,0.115313,61.53822182056157,0.0,7500.0
evidence_coverage_label=HIGH,10168,11350.0,9555.174632,-1794.825368,-15.813439365638768,0.6408561191189426,0.7153537521636506,2.654402688890442,0.6830830000000001,2.6675,72.69866247049566,9009.0,5639.0
evidence_coverage_label=LOW,21449,18995.0,10164.011485,-8830.988515,-46.49112142669123,0.7170290938141616,0.6349931296097721,4.605923119533053,0.29680799999999996,2.1486573999999994,55.23334421185137,10173.0,2765.0
evidence_coverage_label=MEDIUM,8673,7743.0,7579.190594000001,-163.80940599999994,-2.115580601833914,0.636226009815317,0.5680039195203505,1.5937647465830984,0.6233249999999999,2.16482,71.071140320535,6538.0,3982.0
evidence_coverage_label=VERY_HIGH,1695,4630.0,4698.4342050000005,68.43420500000002,1.4780605831533482,0.6141715993520518,1.677648675516224,3.261106894577223,1.7765460000000002,4.885809999999994,48.61356932153392,3639.0,537.0
evidence_coverage_label=VERY_LOW,10300,6137.0,4457.830145999999,-1679.169854,-27.361411992830377,0.6670826638422681,0.39746469009708735,1.2116144724532187,0.29680799999999996,1.982647,53.980582524271846,5407.0,2802.0
repaired_source_quality=HIGH,5046,15967.0,14871.360593,-1095.6394070000001,-6.8618989603557345,0.6233415125571492,1.9724324080459772,5.037046653524631,2.017758,5.856764,53.96353547364249,9347.0,4217.0
repaired_source_quality=LOW,228,510.0,573.430691,63.430690999999996,12.437390392156862,0.5360059666666667,1.1989607149122807,2.052271176781138,1.34397825,3.054092,49.56140350877193,363.0,144.0
repaired_source_quality=MEDIUM,283,483.0,587.020099,104.02009899999999,21.536252380952376,0.6001144120082815,1.0242235371024735,1.4604133533140553,1.352146,2.451595199999999,49.46996466431096,414.0,67.0
repaired_source_quality=UNSAFE,46728,31895.0,20422.829679,-11472.170321,-35.96855407117103,0.6973309660134819,0.4759752431304572,3.1110363437749564,0.3022199999999998,1.9641885000000014,61.65682246190721,24642.0,11297.0
release_ready=NO,47661,37028.0,23502.317971,-13525.682029,-36.52825437236686,0.6820346953926757,0.5298751746920961,3.34432590202017,0.345376,1.995854,61.52829357336187,25877.0,11442.0
release_ready=YES,4624,11827.0,12952.323091,1125.323091,9.51486506299146,0.6344045569459711,1.6226433163927334,3.2481071146690907,1.7864902500000002,4.666838799999998,53.2439446366782,8889.0,4283.0
stockout_censored=0,50565,37887.0,32221.886366,-5665.113633999999,-14.952658257449784,0.662125143505688,0.4961126334816573,2.2130381043219174,0.44233600000000006,1.9975,60.92356372985267,32237.0,15724.0
stockout_censored=1,1720,10968.0,4232.754696,-6735.245304,-61.40814463894967,0.6994482206418673,4.460202374418604,13.939348215285502,3.83317,14.11862499999999,57.03488372093023,2529.0,1.0
