segment,row_count,actual_units_total,forecast_units_total,bias_units,bias_pct,wape,mae,rmse,p75_abs_error,p95_abs_error,model_beats_baseline_pct,estimated_missed_sales_units,estimated_leftover_units
category=FOOT SUPPORT,78,52.0,38.35915299999999,-13.640847000000004,-26.232398076923086,0.460232403846154,0.3068216025641027,0.5404422490086007,0.38677399999999995,1.1102230499999997,76.92307692307693,44.0,5.0
category=FOOTCARE AID,94,77.0,64.84660299999999,-12.153397000000002,-15.783632467532469,0.5078005324675324,0.4159642659574468,0.7175361774115007,0.6172294999999999,1.6306368999999994,64.8936170212766,66.0,32.0
category=GENERAL MERCH,2,2.0,1.36101,-0.63899,-31.949499999999997,0.319495,0.319495,0.319495,0.319495,0.319495,100.0,2.0,0.0
category=GIFTSETS FEMALE,127,6.0,10.379522999999999,4.379522999999998,72.99204999999996,1.1769164999999997,0.05560235433070864,0.13669946992711537,0.042995,0.078577,4.724409448818897,5.0,93.0
category=GIFTSETS MALE,80,2.0,5.008152,3.008152,150.4076,1.762785,0.044069625,0.0638448506596264,0.050408,0.054856,6.25,1.0,18.0
category=GUT HEALTH,29,21.0,21.631990999999996,0.6319910000000006,3.0094809523809554,0.44336452380952374,0.3210570689655172,0.5337777445269803,0.541555,0.8776661999999997,68.96551724137932,9.0,19.0
category=HAIR ACCESSORIES,486,743.0,616.458343,-126.541657,-17.03117860026918,0.504531600269179,0.7713312325102881,1.398896702604244,0.9538239999999999,3.0706302500000002,69.54732510288066,531.0,375.0
category=HAIR BRUSHES,295,308.0,266.656993,-41.343007,-13.423054220779221,0.5851613993506494,0.6109481728813559,0.9937433909807886,0.86521,2.057940800000001,61.35593220338983,238.0,178.0
category=HAIR ELECTRICAL,92,89.0,84.03127099999998,-4.968729,-5.582841573033708,0.6335536966292135,0.6128943369565217,0.9121735851975441,1.061155,1.9924392499999999,58.69565217391305,65.0,17.0
category=HAIR STYLING,456,709.0,546.8496170000001,-162.15038299999998,-22.87029379407616,0.6257074174894218,0.9728652609649123,2.247149306238183,1.1523530000000002,3.99501325,61.40350877192983,464.0,261.0
category=HEALTHY AGEING SUP,408,340.0,249.056041,-90.943959,-26.748223235294123,0.708106144117647,0.5900884534313725,1.7829154983202655,0.48637500000000006,2.0341867999999987,51.225490196078425,244.0,103.0
category=HEART AND CHOLESTE,2,0.0,0.06968099999999999,0.06968099999999999,0.0,0.0,0.034840499999999996,0.035782066884125066,0.03891775,0.042179549999999996,0.0,0.0,0.0
category=HEAT APPLICATN,127,59.0,84.03571899999997,25.035719000000007,42.43342203389832,0.8404860169491525,0.3904620078740157,0.9884520292784417,0.379914,1.8309171999999978,47.24409448818898,51.0,31.0
category=HOME FRAGRANCE,187,94.0,75.973447,-18.026553,-19.17718404255319,0.5998616276595745,0.3015347219251337,0.6941068331892548,0.12194299999999997,1.5934007999999993,45.45454545454545,90.0,21.0
category=HOT COLD PACKS,11,2.0,2.5559710000000004,0.555971,27.79855,0.2779855,0.05054281818181818,0.05935590388572066,0.078577,0.078577,72.72727272727273,2.0,9.0
category=HYDRATION,152,129.0,93.414549,-35.585451000000006,-27.58562093023256,0.604601558139535,0.5131157960526317,1.1291905974437102,0.541555,2.2050891499999947,61.8421052631579,101.0,47.0
category=IMMUNE HEALTH SUPP,191,93.0,95.91175100000001,2.9117509999999975,3.130915053763438,0.6207629139784945,0.30225628795811516,0.6599737190244378,0.29680799999999996,1.2176399999999998,49.73821989528796,88.0,24.0
category=INCONTINENCE MEN,30,34.0,26.819632000000002,-7.180368000000001,-21.11872941176471,0.597234705882353,0.6768660000000001,1.1731476344690526,1.171478,2.7454985499999984,73.33333333333333,24.0,9.0
category=INCONTINENCE UNISE,10,0.0,0.427326,0.427326,0.0,0.0,0.042732599999999996,0.051584803037328736,0.052164,0.08847,70.0,0.0,4.0
category=INCONTINENCE WOMAN,144,139.0,127.494669,-11.505330999999996,-8.277216546762588,0.7354440647482015,0.7099078125,1.7806268057841415,0.98748075,2.2126772999999997,56.25,129.0,60.0
category=INHALANTS,8,8.0,6.207485999999999,-1.7925140000000002,-22.406425000000002,0.7166987499999999,0.7166987499999999,1.133750768397755,0.98869125,2.151758549999999,50.0,8.0,0.0
category=INSECT REPELLENT,1,0.0,0.028701,0.028701,0.0,0.0,0.028701,0.028701,0.028701,0.028701,0.0,0.0,3.0
category=INSOMNIA,2,1.0,3.4647940000000004,2.4647940000000004,246.47940000000003,2.4647940000000004,1.2323970000000002,1.7241059657486255,1.8352525000000002,2.3175369,0.0,0.0,1.0
category=KIND,176,30.0,31.299854999999997,1.2998549999999987,4.332849999999996,0.6676319666666667,0.11380090340909091,0.2924472825916761,0.061454,0.6233249999999999,38.63636363636363,29.0,29.0
category=LASHES,486,279.0,230.91331000000002,-48.086690000000004,-17.23537275985663,0.5466672544802869,0.3138274979423869,0.7167670860172404,0.1489575,1.827103,69.1358024691358,245.0,78.0
category=LIP CARE,464,1405.0,1029.1939269999998,-375.806073,-26.747763202846976,0.5951845160142348,1.8022289762931032,5.912501625937194,1.6412590000000002,6.380927,60.3448275862069,864.0,284.0
category=LOREAL,1961,1022.0,720.4889780000001,-301.511022,-29.50205694716243,0.5998264520547946,0.3126071565527792,0.9559216110392876,0.086909,1.456223,71.95308516063234,880.0,280.0
category=LOTIONS AND POWDER,25,25.0,13.605417999999998,-11.394582,-45.578328,0.7196354400000001,0.7196354400000001,1.674343713884936,0.5934699999999999,3.195870799999995,68.0,6.0,8.0
category=MAKEUP REVOLUTION,775,280.0,225.41600799999998,-54.58399200000001,-19.49428285714286,0.6312591928571428,0.22806783741935482,0.5166690669035158,0.074293,1.0434679999999976,50.967741935483865,269.0,46.0
category=MANICURE PEDICURE,484,438.0,362.812453,-75.18754700000001,-17.166106621004566,0.5800379885844749,0.5249104111570247,1.0138094256912467,0.7470682500000001,2.2920957999999922,65.9090909090909,364.0,69.0
category=MAX FACTOR,1168,195.0,175.43806,-19.561940000000007,-10.031764102564106,0.8016195179487179,0.1338320256849315,0.35530662410464386,0.061454,0.9885739499999993,57.87671232876712,188.0,62.0
category=MAYBELLINE,2562,1710.0,1239.122796,-470.877204,-27.536678596491228,0.5695797321637427,0.38016445823575334,0.9437988872269806,0.345376,1.91817,72.44340359094458,1301.0,601.0
category=MEDICAL TEST KITS,6,2.0,2.9251329999999998,0.9251329999999999,46.25664999999999,0.46256649999999994,0.1541888333333333,0.22437705048979492,0.30708099999999994,0.38324899999999995,16.666666666666664,1.0,0.0
category=MEDICATED HAIR,117,105.0,77.40069199999999,-27.599307999999997,-26.285055238095232,0.6855413904761903,0.6152294529914529,1.1937326625548497,0.8476469999999998,2.9604707999999995,55.55555555555556,70.0,6.0
category=MENS BODY WASH,40,11.0,4.342218000000001,-6.657782000000001,-60.52529090909092,0.8056296363636364,0.22154815,0.47410468202908523,0.054079,1.0004617,45.0,10.0,11.0
category=MENS DEODORANT,205,202.0,209.032492,7.032491999999993,3.4814316831683136,0.5926983663366339,0.5840247317073172,1.0142129814199825,0.961557,1.7490345999999994,60.0,163.0,103.0
category=MENS ELEC GROOMING,24,10.0,11.090079,1.0900790000000002,10.900790000000002,0.4265975,0.17774895833333335,0.3171180877733745,0.14916999999999997,0.60985905,87.5,10.0,1.0
category=MENS GROOM DEODORA,47,35.0,16.767408000000003,-18.232591999999997,-52.09311999999999,0.6552002285714287,0.4879150638297873,0.9467381135179526,0.7775075,2.048013,70.2127659574468,35.0,0.0
category=MENS HAIRCARE,135,72.0,51.208629,-20.791370999999998,-28.876904166666662,0.4945962083333333,0.26378464444444444,0.6211290006732066,0.07275149999999997,1.048013,65.92592592592592,65.0,24.0
category=MENS SHAVING AIDS,201,87.0,89.00027800000001,2.0002779999999984,2.299170114942527,0.46027096551724145,0.19922176119402987,0.3837588016649564,0.08168399999999998,0.997959,55.223880597014926,71.0,84.0
category=MENS SKINCARE,136,37.0,32.584393,-4.4156070000000005,-11.934072972972974,0.5654184594594595,0.15382708088235295,0.40032183657247244,0.054079,0.62886175,60.29411764705882,32.0,25.0
category=MILANI,280,180.0,110.406618,-69.593382,-38.66299,0.5829148555555556,0.37473097857142856,0.942888202138734,0.32890525000000004,1.7242544000000073,54.285714285714285,147.0,48.0
category=MIND BODY BAL SUPP,221,70.0,65.28237,-4.7176300000000015,-6.739471428571431,0.7508844285714286,0.2378366968325792,0.6133810840256779,0.073667,0.99722,42.53393665158371,66.0,44.0
category=MIXTURES LIQ,35,11.0,14.220314000000002,3.220314,29.275581818181816,0.8437981818181819,0.2651937142857143,0.4900418329189574,0.12659250000000005,1.0888477999999997,45.714285714285715,9.0,5.0
category=MOTHER CARE,17,4.0,0.585621,-3.414379,-85.35947499999999,1.14047525,0.2683471176470588,0.5944196660373386,0.078577,1.1970349999999992,64.70588235294117,4.0,0.0
category=MOUTH WASHES,100,171.0,187.55564200000003,16.555642000000002,9.681661988304095,0.5640639883040935,0.9645494199999999,1.5349656491118557,1.3325,3.3492499999999987,56.99999999999999,128.0,73.0
category=NATIO,1959,636.0,502.312973,-133.687027,-21.01997279874214,0.6740873097484276,0.21884610974987237,0.539275806325156,0.074293,1.0187650000000001,63.65492598264421,568.0,503.0
category=NATURAL,1196,1246.0,1054.910483,-191.089517,-15.33623731942215,0.6856631227929374,0.7143279690635452,1.608874928403501,0.8483337500000001,2.73683975,61.20401337792642,900.0,267.0
category=NATURAL DEODORANT,47,83.0,97.51804400000002,14.518043999999996,17.491619277108427,0.37896804819277097,0.6692414468085104,0.9083374883992908,1.0,1.6861952999999998,65.95744680851064,56.0,11.0
category=NUDE BY NATURE,713,248.0,203.06201499999997,-44.937985000000005,-18.120155241935485,0.6349331088709678,0.22084629873772793,0.49503347508916695,0.08183000000000007,0.997681,65.63814866760168,218.0,75.0
category=NUTRITION SUPPS,13,8.0,7.4692500000000015,-0.5307499999999997,-6.634374999999997,0.67105425,0.4129564615384615,0.7493069146046282,0.3573050000000002,1.693702599999999,53.84615384615385,4.0,6.0
category=NYX,2020,1851.0,1152.910272,-698.0897279999999,-37.71419384116693,0.6031079470556455,0.552649905940594,1.2645455576059181,0.6256440000000001,2.55756,67.22772277227723,1342.0,496.0
category=OPALLAC,137,44.0,35.380579,-8.619421,-19.589593181818184,0.6440994772727272,0.20686406569343063,0.4486420805641475,0.074293,1.1925823999999976,80.2919708029197,34.0,45.0
category=ORAL ELECTRICAL,222,188.0,273.970687,85.970687,45.72908882978724,0.8726354202127659,0.738988554054054,1.1714302804553531,1.3325,2.66675,44.14414414414414,143.0,56.0
category=PAIN LIQUIDS,27,9.0,6.029662,-2.9703379999999995,-33.00375555555555,0.6794333333333333,0.22647777777777775,0.3949461507323451,0.18383849999999996,0.99407,66.66666666666666,8.0,9.0
category=PAIN TABS CAPS,72,78.0,113.17735099999999,35.177351,45.09916794871795,0.7389723974358975,0.8005534305555556,1.414060581563757,1.075615,2.3811768,43.05555555555556,53.0,9.0
