feature_name,feature_family,source_module,merge_status,merge_priority,merge_safety_status,leakage_risk_level,available_pre_decision_flag,missing_value_policy,dtype_policy,expected_decision_value,merge_blocker,recommended_action,present_in_core_after
dag_brain_forecast_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_decision_path_quality,dag_knowledge_graph_memory,promo_brain_state_audit,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_governance_constraints_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_governance_constraints_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_governance_constraints_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_human_review_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_human_review_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_human_review_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_lesson_update_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_lesson_update_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_lesson_update_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_missing_state_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_mission_sku_role_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_mission_sku_role_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_mission_sku_role_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_optimal_stock_target_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_optimal_stock_target_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_optimal_stock_target_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_promo_uplift_estimate_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_promo_uplift_estimate_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_promo_uplift_estimate_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_promo_advice_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_raw_promo_advice_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_promo_advice_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_stock_position_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_raw_stock_position_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_stock_position_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_supplier_history_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_raw_supplier_history_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_supplier_history_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_transaction_history_evidence_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_raw_transaction_history_last_updated,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_raw_transaction_history_missing_reason,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_UNKNOWN_LABEL,string,MEDIUM,,MERGE,YES
dag_repairable_nodes_populated_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_state_coverage_score,dag_knowledge_graph_memory,promo_brain_state_audit,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_unpopulated_repairable_nodes_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
dag_unrepairable_without_new_data_count,derived_or_phase_extension,phase6e_enrichment,READY_TO_MERGE,2,SAFE,LOW,YES,KEEP_NAN_NOT_ZERO,float64,MEDIUM,,MERGE,YES
